Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Raïs M'Bolhi,dz ALG,GK,Al-Ettifaq,32,1986,22,22,"1,915",0,0,0,0,3,0,0,0,0,0,0,2018
Moussa Maâzou,ne NIG,FW,Ohod,29,1988,4,3,184,1,0,0,0,0,0,0.49,0,0.49,0.49,0.49,2018
Ricardo Machado,pt POR,DF,Al-Taawoun,29,1988,23,19,"1,752",1,0,0,0,4,0,0.05,0,0.05,0.05,0.05,2018
Abdullah Madu,sa KSA,DF,Al-Nassr,25,1993,5,5,434,0,0,0,0,0,0,0,0,0,0,0,2018
Ismael Al-Maghrebi,sa KSA,FW,Ohod,27,1991,7,3,238,0,0,0,0,1,0,0,0,0,0,0,2018
Ismael Al-Maghrebi,sa KSA,FW,Al-Taawoun,27,1991,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulaziz Magrashi,sa KSA,MF,Al-Batin,27,1991,11,9,714,0,1,0,0,1,0,0,0.13,0.13,0,0.13,2018
Abdullah Magrashi,sa KSA,MF,Ohod,20,1997,3,3,174,0,0,0,0,1,0,0,0,0,0,0,2018
Abdullah Magrashi,sa KSA,DF,Al-Ahli,20,1997,5,0,25,0,0,0,0,0,0,0,0,0,0,0,2018
Ibrahim Mahnashi,sa KSA,MF,Al-Ettifaq,18,1999,12,7,721,1,0,0,0,1,0,0.12,0,0.12,0.12,0.12,2018
Maicon,br BRA,DF,Al-Nassr,29,1988,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2018
Mohammed Al Majhad,sa KSA,"MF,DF",Al-Fateh,20,1998,27,21,"1,901",3,1,0,0,3,0,0.14,0.05,0.19,0.14,0.19,2018
Abdulaziz Majrashi,sa KSA,DF,Al-Ettifaq,27,1991,3,2,177,0,0,0,0,1,0,0,0,0,0,0,2018
Ali Majrashi,sa KSA,MF,Al-Shabab,18,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
Mohammed Majrashi,sa KSA,"MF,FW",Al-Faisaly,27,1991,7,4,383,1,0,0,0,2,0,0.23,0,0.23,0.23,0.23,2018
Mohammed Majrashi,sa KSA,"MF,FW",Ohod,27,1991,11,8,738,3,2,0,0,1,1,0.37,0.24,0.61,0.37,0.61,2018
Mustafa Malayekah,sa KSA,GK,Al-Faisaly,32,1986,30,30,"2,700",0,0,0,0,1,0,0,0,0,0,0,2018
Osama Malik,au AUS,"MF,DF",Al-Batin,27,1990,8,5,394,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulellah Al-Malki,sa KSA,MF,Al-Wehda,23,1994,17,11,818,0,0,0,0,6,0,0,0,0,0,0,2018
Sandro Manoel,br BRA,MF,Al-Taawoun,30,1988,26,26,"2,271",0,2,0,0,6,0,0,0.08,0.08,0,0.08,2018
Hamad Al Mansour,sa KSA,DF,Al-Nassr,25,1993,11,10,913,1,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,2018
José Manuel Jurado,es ESP,"MF,FW",Al-Ahli,32,1986,17,15,"1,278",1,3,0,0,2,0,0.07,0.21,0.28,0.07,0.28,2018
Hamed Al Maqati,sa KSA,"MF,FW",Al-Hazem,,,9,2,237,0,0,0,0,0,0,0,0,0,0,0,2018
Naif Al Mas,sa KSA,DF,Al-Nassr,18,2000,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Nawaf Mashea,sa KSA,MF,Ohod,,,1,0,23,0,0,0,0,0,0,0,0,0,0,0,2018
Faisel Masrahi,sa KSA,GK,Al-Qadsiah,25,1993,2,1,135,0,0,0,0,1,0,0,0,0,0,0,2018
Khalifa Al-Masrahi,sa KSA,DF,Al-Ettifaq,,,2,2,175,0,0,0,0,0,0,0,0,0,0,0,2018
Sultan Masrahi,sa KSA,DF,Al-Batin,31,1987,18,18,"1,551",0,0,0,0,2,0,0,0,0,0,0,2018
Abdullah Al-Mayouf,sa KSA,GK,Al-Hilal,31,1987,10,9,831,0,0,0,0,0,0,0,0,0,0,0,2018
Ali Al-Mazidi,sa KSA,GK,Al-Fateh,32,1985,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Ilombe Mboyo,be BEL,"FW,MF",Al-Raed,31,1987,13,11,890,2,4,0,0,2,0,0.2,0.4,0.61,0.2,0.61,2018
Zidane Mebarakou,dz ALG,DF,Al-Wehda,29,1989,11,11,945,1,0,0,0,1,0,0.1,0,0.1,0.1,0.1,2018
Carl Medjani,dz ALG,MF,Ohod,33,1985,14,14,"1,203",3,1,1,2,1,0,0.22,0.07,0.3,0.15,0.22,2018
Sultan Mendash,sa KSA,MF,Al-Faisaly,23,1994,21,13,"1,325",3,4,0,0,2,0,0.2,0.27,0.48,0.2,0.48,2018
Sahow Metlaq,sa KSA,MF,Al-Batin,30,1988,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2018
Salman Al-Moasher,sa KSA,MF,Al-Ahli,29,1988,22,16,"1,292",3,6,0,0,2,0,0.21,0.42,0.63,0.21,0.63,2018
Nayed Mohammad Kariri,sa KSA,DF,Al-Fayha,,,3,1,65,0,0,0,0,1,0,0,0,0,0,0,2018
Omar Mohammed Hawsawi,sa KSA,DF,Ohod,25,1993,19,19,"1,661",0,0,0,0,8,1,0,0,0,0,0,2018
Tariq Mohammed,sa KSA,DF,Al-Ittihad,22,1995,2,2,143,0,1,0,0,0,0,0,0.63,0.63,0,0.63,2018
Mohammed Mohsen Harzan,sa KSA,MF,Al-Hazem,29,1989,9,5,382,0,0,0,0,0,0,0,0,0,0,0,2018
Husain Al-Monassar,sa KSA,MF,Al-Faisaly,23,1994,14,3,309,1,0,0,0,1,0,0.29,0,0.29,0.29,0.29,2018
Hussain Al Moqahwi,sa KSA,"MF,FW",Al-Ahli,30,1988,17,12,"1,113",3,2,0,0,2,0,0.24,0.16,0.4,0.24,0.4,2018
Anselmo de Moraes,br BRA,MF,Al-Wehda,29,1989,20,17,"1,562",0,2,0,0,5,1,0,0.12,0.12,0,0.12,2018
Danilo Moreno Asprilla,co COL,"FW,MF",Al-Fayha,29,1989,28,28,"2,499",15,0,2,2,6,0,0.54,0,0.54,0.47,0.47,2018
Yasser Al Mosailem,sa KSA,GK,Al-Ahli,34,1984,4,4,360,0,0,0,0,0,0,0,0,0,0,0,2018
Naif Al-Mousa,sa KSA,DF,Al-Taawoun,31,1986,7,4,342,0,1,0,0,1,0,0,0.26,0.26,0,0.26,2018
Nooh Al-Mousa,sa KSA,MF,Al-Ahli,27,1991,19,14,"1,295",1,2,0,0,3,0,0.07,0.14,0.21,0.07,0.21,2018
Ryan Al-Mousa,sa KSA,MF,Al-Taawoun,24,1994,14,5,560,0,1,0,0,4,0,0,0.16,0.16,0,0.16,2018
Saeed Al Mowalad,sa KSA,"DF,MF",Al-Ahli,27,1991,25,25,"2,179",0,1,0,0,5,0,0,0.04,0.04,0,0.04,2018
Hassan Muath Fallatah,sa KSA,DF,Al-Shabab,32,1986,11,11,941,0,1,0,0,2,1,0,0.1,0.1,0,0.1,2018
Hassan Muath Fallatah,sa KSA,"DF,FW",Al-Ittihad,32,1986,5,4,375,0,1,0,0,2,0,0,0.24,0.24,0,0.24,2018
Muteb Al Mufarrij,sa KSA,DF,Al-Taawoun,21,1996,18,16,"1,353",0,0,0,0,3,0,0,0,0,0,0,2018
Mojahed Al-Munee,sa KSA,FW,Al-Hazem,22,1996,12,1,242,0,0,0,0,1,0,0,0,0,0,0,2018
Muralha,br BRA,MF,Al-Hazem,25,1993,28,28,"2,511",0,2,0,0,6,0,0,0.07,0.07,0,0.07,2018
Ahmed Musa,ng NGA,MF,Al-Nassr,25,1992,24,22,"1,974",7,7,0,0,0,0,0.32,0.32,0.64,0.32,0.64,2018
Yahya Al Musallam,sa KSA,DF,Al-Raed,32,1986,2,1,113,0,0,0,0,0,0,0,0,0,0,0,2018
Ismael Musallami,sa KSA,MF,Al-Hazem,,,6,4,285,0,0,0,0,0,0,0,0,0,0,0,2018
Jaber Mustafa,sa KSA,MF,Al-Ittihad,21,1997,5,1,129,0,0,0,0,0,0,0,0,0,0,0,2018
Abdullah Al-Mutairi,sa KSA,MF,Al-Fayha,32,1986,1,0,9,0,0,0,0,0,0,0,0,0,0,0,2018
Maher Al Mutairi,sa KSA,MF,Al-Hazem,,,1,0,29,0,0,0,0,0,0,0,0,0,0,0,2018
Muteb Mansour Al-Mutairi,sa KSA,DF,Al-Batin,,,2,1,91,0,0,0,0,0,0,0,0,0,0,0,2018
Muteb Al-Mutlaq,sa KSA,DF,Al-Raed,20,1997,15,8,829,0,1,0,0,0,0,0,0.11,0.11,0,0.11,2018
Essam Al Muwallad,sa KSA,MF,Al-Ittihad,19,1999,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2018
Fahad Al Muwallad,sa KSA,"MF,FW",Al-Ittihad,23,1994,21,20,"1,797",11,7,2,2,6,0,0.55,0.35,0.9,0.45,0.8,2018
Mansour Al Muwallad,sa KSA,FW,Al-Taawoun,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2018
Omar Al-Muziel,sa KSA,"DF,MF",Al-Fayha,26,1992,7,7,594,1,2,0,0,5,1,0.15,0.3,0.45,0.15,0.45,2018
Omar Al-Muziel,sa KSA,"DF,MF",Al-Ittihad,26,1992,8,8,674,0,1,0,0,3,0,0,0.13,0.13,0,0.13,2018
Mohamed Naamani,dz ALG,DF,Al-Fateh,27,1990,17,15,"1,422",0,0,0,0,5,0,0,0,0,0,0,2018
Ahmed Al-Nadhri,sa KSA,MF,Al-Fateh,25,1993,17,2,345,0,0,0,0,0,0,0,0,0,0,0,2018
Guy-Hervé Nady,ci CIV,MF,Al-Qadsiah,26,1991,12,12,962,0,0,0,0,1,0,0,0,0,0,0,2018
Ammar Al-Najar,sa KSA,MF,Al-Ittihad,21,1997,2,0,11,0,0,0,0,0,0,0,0,0,0,0,2018
Ammar Al-Najar,sa KSA,DF,Al-Fateh,21,1997,2,1,112,0,0,0,0,1,0,0,0,0,0,0,2018
Mansour Al Najar,sa KSA,"DF,MF",Al-Qadsiah,,,8,7,638,0,0,0,0,2,1,0,0,0,0,0,2018
Sami Al-Najei,sa KSA,MF,Al-Qadsiah,21,1997,4,2,156,0,0,0,0,0,0,0,0,0,0,0,2018
Rakan Najjar,sa KSA,GK,Al-Ittihad,23,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Majed Al-Najrani,sa KSA,MF,Al-Fayha,25,1993,8,2,240,0,0,0,0,0,0,0,0,0,0,0,2018
Mesfer Al Najrani,sa KSA,MF,Al-Qadsiah,24,1994,1,0,8,0,0,0,0,0,0,0,0,0,0,0,2018
Bader Badi Al-Nakhli,sa KSA,DF,Ohod,29,1988,1,0,45,0,0,0,0,1,0,0,0,0,0,0,2018
Hussain Al Nakhli,sa KSA,FW,Al-Fayha,20,1998,5,1,100,0,0,0,0,1,0,0,0,0,0,0,2018
Munther Nakhli,sa KSA,MF,Al-Fateh,,,2,0,33,0,0,0,0,0,0,0,0,0,0,0,2018
Naldo,br BRA,MF,Al-Fayha,28,1990,7,3,232,0,0,0,0,0,0,0,0,0,0,0,2018
Bander Nasser,sa KSA,DF,Al-Batin,28,1990,25,25,"2,250",0,2,0,0,5,0,0,0.08,0.08,0,0.08,2018
Ali Al Nemer,sa KSA,MF,Al-Wehda,26,1991,25,16,"1,346",0,2,0,0,2,0,0,0.13,0.13,0,0.13,2018
Ignatiy Nesterov,uz UZB,GK,Ohod,35,1983,2,2,180,0,0,0,0,0,0,0,0,0,0,0,2018
Abdurahman Al-Obaid,sa KSA,DF,Al-Nassr,25,1993,11,11,990,0,2,0,0,2,0,0,0.18,0.18,0,0.18,2018
Carlos Ohene,gh GHA,MF,Ohod,25,1993,14,14,"1,222",0,1,0,0,3,1,0,0.07,0.07,0,0.07,2018
Madallah Al-Olayan,sa KSA,DF,Al-Taawoun,23,1994,26,25,"2,186",0,0,0,0,5,1,0,0,0,0,0,2018
Majed Omar Kanabah,sa KSA,"MF,FW",Al-Batin,25,1993,23,18,"1,708",0,2,0,0,6,0,0,0.11,0.11,0,0.11,2018
Nasser Al Omran,sa KSA,MF,Al-Shabab,21,1997,1,0,46,0,1,0,0,0,0,0,1.96,1.96,0,1.96,2018
Saqer Otaif,sa KSA,MF,Ohod,27,1990,7,1,234,3,0,0,0,1,0,1.15,0,1.15,1.15,1.15,2018
Saqer Otaif,sa KSA,FW,Al-Raed,27,1990,2,0,25,0,0,0,0,0,0,0,0,0,0,0,2018
Yahya Otain,sa KSA,MF,Al-Raed,28,1990,4,2,121,0,0,0,0,0,0,0,0,0,0,0,2018
Abdullah Otayf,sa KSA,MF,Al-Hilal,25,1992,17,8,918,0,1,0,0,1,0,0,0.1,0.1,0,0.1,2018
Rómulo Otero,ve VEN,"MF,FW",Al-Wehda,25,1992,25,21,"1,987",5,7,2,2,3,0,0.23,0.32,0.54,0.14,0.45,2018
Omar Al Oudah,sa KSA,"DF,MF",Al-Fayha,19,1998,11,9,709,0,1,0,0,4,1,0,0.13,0.13,0,0.13,2018
Abdelkader Oueslati,tn TUN,"MF,FW",Al-Fateh,26,1991,22,21,"1,587",5,1,3,4,3,0,0.28,0.06,0.34,0.11,0.17,2018
Aboubakar Oumarou,cm CMR,FW,Al-Qadsiah,31,1987,11,3,380,1,0,0,0,1,0,0.24,0,0.24,0.24,0.24,2018
Zied Ounalli,tn TUN,"MF,FW",Al-Batin,24,1994,12,10,903,4,0,0,0,5,0,0.4,0,0.4,0.4,0.4,2018
Mohammed Al-Owais,sa KSA,GK,Al-Ahli,26,1991,26,26,"2,340",0,0,0,0,2,0,0,0,0,0,0,2018
Abdullah Al-Owaishir,sa KSA,GK,Ohod,27,1991,6,6,540,0,0,0,0,1,0,0,0,0,0,0,2018
Abdullah Al-Owaishir,sa KSA,GK,Al-Nassr,27,1991,1,0,45,0,0,0,0,0,0,0,0,0,0,0,2018
John Pajoy,co COL,MF,Al-Hazem,29,1988,29,27,"2,155",2,3,0,0,3,0,0.08,0.13,0.21,0.08,0.21,2018
Giuliano de Paula,br BRA,MF,Al-Nassr,28,1990,30,30,"2,675",8,5,0,0,0,0,0.27,0.17,0.44,0.27,0.44,2018
Aleksandar Pešić,rs SRB,FW,Al-Ittihad,26,1992,11,8,804,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,2018
Nildo Petrolina,br BRA,MF,Al-Taawoun,32,1986,14,12,"1,092",2,3,1,1,2,0,0.16,0.25,0.41,0.08,0.33,2018
Petros,br BRA,MF,Al-Nassr,29,1989,27,26,"2,282",1,4,0,0,3,1,0.04,0.16,0.2,0.04,0.2,2018
Aleksandar Prijović,rs SRB,FW,Al-Ittihad,28,1990,11,9,825,7,1,1,2,0,0,0.76,0.11,0.87,0.65,0.76,2018
Ante Puljić,hr CRO,DF,Al-Faisaly,30,1987,21,19,"1,766",3,0,0,0,2,0,0.15,0,0.15,0.15,0.15,2018
Abdulkareem Al-Qahtani,sa KSA,"MF,DF",Al-Fayha,25,1993,16,14,"1,160",1,5,0,0,3,0,0.08,0.39,0.47,0.08,0.47,2018
Abdulmohsen Al-Qahtani,sa KSA,MF,Al-Qadsiah,19,1999,6,0,190,0,0,0,0,0,0,0,0,0,0,0,2018
Assaf Al-Qarni,sa KSA,GK,Al-Ittihad,34,1984,7,7,630,0,0,0,0,0,0,0,0,0,0,0,2018
Dhaifallah Al-Qarni,sa KSA,MF,Al-Fayha,29,1988,21,14,"1,215",1,0,0,0,0,0,0.07,0,0.07,0.07,0.07,2018
Fawaz Al-Qarni,sa KSA,GK,Al-Ittihad,26,1992,22,22,"1,980",0,0,0,0,0,0,0,0,0,0,0,2018
Mohammed Al-Qarni,sa KSA,MF,Al-Wehda,28,1989,8,6,573,1,0,0,0,3,0,0.16,0,0.16,0.16,0.16,2018
Hussain Qassem,sa KSA,DF,Al-Ettifaq,20,1997,5,4,383,0,0,0,0,2,1,0,0,0,0,0,2018
Mohammed Qassem,sa KSA,DF,Al-Ittihad,23,1995,1,0,12,0,0,0,0,1,0,0,0,0,0,0,2018
Mohammed Qassem,sa KSA,DF,Al-Fayha,23,1995,4,2,190,0,0,0,0,0,0,0,0,0,0,0,2018
Mohammed Al-Qathami,sa KSA,MF,Al-Wehda,25,1993,3,0,30,0,0,0,0,0,0,0,0,0,0,0,2018
Saleh Al-Qumaizi,sa KSA,DF,Al-Ettifaq,26,1991,3,2,138,0,0,0,0,0,0,0,0,0,0,0,2018
Saleh Al-Qumaizi,sa KSA,DF,Al-Shabab,26,1991,12,11,908,0,0,0,0,2,0,0,0,0,0,0,2018
Saeed Al Rabiei,sa KSA,DF,Al-Ettifaq,24,1993,16,15,"1,291",2,1,0,0,10,0,0.14,0.07,0.21,0.14,0.21,2018
Hassan Al Raheb,sa KSA,FW,Al-Shabab,34,1983,8,0,168,0,0,0,0,1,0,0,0,0,0,0,2018
Christian Ramos,pe PER,DF,Al-Nassr,29,1988,10,9,788,0,0,0,0,2,1,0,0,0,0,0,2018
Héldon Ramos,cv CPV,"MF,FW",Al-Taawoun,29,1988,27,25,"2,185",10,6,3,4,4,0,0.41,0.25,0.66,0.29,0.54,2018
Fahad Al Rashidi,sa KSA,FW,Ohod,21,1997,3,0,74,0,1,0,0,0,0,0,1.22,1.22,0,1.22,2018
Fahad Al Rashidi,sa KSA,FW,Al-Hilal,21,1997,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2018
Mohammed Reeman,sa KSA,DF,Al-Ittihad,21,1996,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2018
Misael Riascos,co COL,"FW,MF",Al-Batin,27,1991,11,4,498,0,0,0,0,0,0,0,0,0,0,0,2018
Ribamar,br BRA,FW,Ohod,21,1997,11,11,946,3,0,1,1,1,0,0.29,0,0.29,0.19,0.19,2018
Abdulrahman Al-Rio,sa KSA,"DF,MF",Al-Hazem,24,1994,12,10,923,0,1,0,0,1,0,0,0.1,0.1,0,0.1,2018
Gelmin Rivas,ve VEN,FW,Al-Hilal,29,1989,13,5,442,3,1,0,0,1,0,0.61,0.2,0.81,0.61,0.81,2018
Rodolfo,br BRA,"MF,FW",Al-Hazem,25,1993,24,24,"2,031",5,5,0,0,4,0,0.22,0.22,0.44,0.22,0.44,2018
Garry Rodrigues,cv CPV,"MF,FW",Al-Ittihad,27,1990,9,9,745,1,2,0,0,0,0,0.12,0.24,0.36,0.12,0.36,2018
Rogerinho,br BRA,"MF,FW",Al-Faisaly,31,1987,28,28,"2,441",8,5,1,1,1,0,0.29,0.18,0.48,0.26,0.44,2018
Romarinho,br BRA,"MF,FW",Al-Ittihad,27,1990,27,24,"1,972",7,3,0,0,2,0,0.32,0.14,0.46,0.32,0.46,2018
Igor Rossi Branco,br BRA,DF,Al-Faisaly,29,1989,27,27,"2,418",4,0,0,0,7,1,0.15,0,0.15,0.15,0.15,2018
Hamdan Al Ruwaili,sa KSA,DF,Al-Taawoun,23,1995,9,5,453,0,1,0,0,0,0,0,0.2,0.2,0,0.2,2018
Mohammed Al-Saeed,sa KSA,MF,Al-Fateh,21,1996,3,0,48,0,1,0,0,0,0,0,1.87,1.87,0,1.87,2018
Salem Saeed,sa KSA,MF,Al-Hazem,19,1999,3,1,95,0,0,0,0,1,0,0,0,0,0,0,2018
Ziyad Al-Sahafi,sa KSA,DF,Al-Ittihad,23,1994,16,14,"1,237",0,0,0,0,2,1,0,0,0,0,0,2018
Mohammed Al Sahlawi,sa KSA,"FW,MF",Al-Nassr,31,1987,11,3,360,1,1,0,0,0,0,0.25,0.25,0.5,0.25,0.5,2018
Mohammed Al-Saiari,sa KSA,FW,Al-Hazem,25,1993,25,23,"1,944",10,0,0,0,8,0,0.46,0,0.46,0.46,0.46,2018
Abdallah Said,eg EGY,"MF,FW",Al-Ahli,33,1985,14,13,"1,095",2,2,0,0,1,0,0.16,0.16,0.33,0.16,0.33,2018
Abdullah Al Saleh,sa KSA,GK,Al-Ettifaq,28,1989,7,6,560,0,0,0,0,0,0,0,0,0,0,0,2018
Ahmed Saleh,eg EGY,DF,Ohod,41,1977,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulla Al Salem,sa KSA,MF,Al-Nassr,25,1992,9,1,148,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulla Al Salem,sa KSA,"FW,MF",Al-Fayha,25,1992,11,8,645,3,1,0,0,0,0,0.42,0.14,0.56,0.42,0.56,2018
Mohammed Salem,sa KSA,DF,Al-Shabab,32,1985,27,25,"2,250",0,2,0,0,5,0,0,0.08,0.08,0,0.08,2018
Diogo Salomão,pt POR,"MF,FW",Al-Hazem,29,1988,11,9,800,2,3,0,0,0,0,0.23,0.34,0.56,0.23,0.56,2018
Awn Al Saluli,sa KSA,DF,Al-Ittihad,19,1998,5,4,314,0,0,0,0,1,0,0,0,0,0,0,2018
Sékou Sanogo,ci CIV,MF,Al-Ittihad,29,1989,11,7,706,1,1,0,0,4,0,0.13,0.13,0.25,0.13,0.25,2018
Jorge Santos Silva,br BRA,"FW,MF",Al-Qadsiah,31,1987,11,5,492,1,0,0,0,3,0,0.18,0,0.18,0.18,0.18,2018
Aderlan Santos,br BRA,DF,Al-Ahli,29,1989,8,8,720,1,0,0,0,0,0,0.12,0,0.12,0.12,0.12,2018
João Pedro Pereira dos Santos,br BRA,FW,Al-Fateh,25,1993,19,13,"1,193",4,0,1,1,4,0,0.3,0,0.3,0.23,0.23,2018
Sultan Al-Sawadi,sa KSA,MF,Al-Raed,25,1992,9,9,717,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulmajeed Al-Sawat,sa KSA,MF,Al-Taawoun,23,1995,5,1,169,0,0,0,0,0,0,0,0,0,0,0,2018
Ramzi Sawlan,sa KSA,"MF,FW",Al-Batin,20,1998,8,4,422,0,1,0,0,1,0,0,0.21,0.21,0,0.21,2018
Hussein El Sayed,eg EGY,DF,Al-Ettifaq,26,1991,22,22,"1,928",2,1,0,0,9,1,0.09,0.05,0.14,0.09,0.14,2018
Sebá,br BRA,"MF,FW",Al-Shabab,26,1992,12,11,875,6,2,0,0,2,1,0.62,0.21,0.82,0.62,0.82,2018
Saad Al-Selouli,sa KSA,MF,Al-Ettifaq,20,1998,3,0,39,0,0,0,0,0,0,0,0,0,0,0,2018
Islam Seraj,sa KSA,"FW,MF",Ohod,29,1989,11,8,717,0,0,0,0,0,0,0,0,0,0,0,2018
Hussain Shae'an,sa KSA,GK,Al-Taawoun,29,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Amer Shafi,jo JOR,GK,Al-Fayha,36,1982,13,13,"1,155",0,0,0,0,2,0,0,0,0,0,0,2018
Yasser Al-Shahrani,sa KSA,DF,Al-Hilal,26,1992,21,21,"1,889",1,1,0,0,4,1,0.05,0.05,0.1,0.05,0.1,2018
Mohammad Al-Shalhoub,sa KSA,MF,Al-Hilal,37,1980,12,2,295,1,4,0,1,0,0,0.31,1.22,1.53,0.31,1.53,2018
Abdullah Al-Shamekh,sa KSA,DF,Al-Raed,25,1993,28,25,"2,223",3,1,1,1,3,0,0.12,0.04,0.16,0.08,0.12,2018
Yousef Al Shammari,sa KSA,MF,Al-Batin,20,1997,12,3,319,0,0,0,0,2,0,0,0,0,0,0,2018
Abdullah Al-Shammeri,sa KSA,GK,Al-Raed,26,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulmalek Al-Shammeri,sa KSA,"DF,MF",Al-Shabab,22,1995,21,17,"1,605",0,0,0,0,2,1,0,0,0,0,0,2018
Ahmed Al-Shamrani,sa KSA,DF,Al-Wehda,24,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Hamdan Al-Shamrani,sa KSA,DF,Al-Faisaly,21,1996,26,24,"2,153",3,2,0,0,3,1,0.13,0.08,0.21,0.13,0.21,2018
Nasser Al-Shamrani,sa KSA,FW,Al-Ittihad,34,1983,2,0,20,0,0,0,0,0,0,0,0,0,0,0,2018
Nasser Al-Shamrani,sa KSA,FW,Al-Shabab,34,1983,18,18,"1,424",5,3,0,0,1,0,0.32,0.19,0.51,0.32,0.51,2018
Ahmed Sharahili,sa KSA,DF,Al-Hilal,24,1994,2,1,105,0,0,0,0,0,0,0,0,0,0,0,2018
Hassan Sharahili,sa KSA,FW,Al-Batin,25,1993,4,0,62,1,0,0,0,0,0,1.45,0,1.45,1.45,1.45,2018
Khalid Sharahili,sa KSA,GK,Ohod,31,1987,4,4,360,0,0,0,0,0,0,0,0,0,0,0,2018
Abdulaziz Al-Sharid,sa KSA,MF,Al-Fateh,24,1994,4,3,226,0,0,0,0,0,0,0,0,0,0,0,2018
Saleh Al-Shehri,sa KSA,"FW,MF",Al-Raed,24,1993,25,16,"1,579",16,2,4,4,7,1,0.91,0.11,1.03,0.68,0.8,2018
Yahya Al-Shehri,sa KSA,MF,Al-Nassr,28,1990,24,12,"1,032",3,2,0,0,1,0,0.26,0.17,0.44,0.26,0.44,2018
Jedaan Al Shemmari,sa KSA,"MF,DF",Al-Batin,26,1992,15,11,930,1,0,0,0,2,0,0.1,0,0.1,0.1,0.1,2018
Ibrahim Al-Shoeil,sa KSA,DF,Al-Qadsiah,23,1994,11,9,857,0,0,0,0,3,0,0,0,0,0,0,2018
Mohammed Al Shuraymi,sa KSA,DF,Al-Raed,23,1995,9,3,364,0,0,0,0,2,0,0,0,0,0,0,2018
Hussein Al Shuwaysh,sa KSA,"DF,MF",Al-Raed,29,1988,16,12,"1,161",1,1,0,0,1,1,0.08,0.08,0.16,0.08,0.16,2018
Luis Gustavo Melere da Silva,br BRA,MF,Al-Faisaly,27,1991,24,18,"1,628",7,8,2,3,6,0,0.39,0.44,0.83,0.28,0.72,2018
Enes Šipović,ba BIH,DF,Ohod,27,1990,11,11,796,0,0,0,0,2,0,0,0,0,0,0,2018
Nawaf Al-Sobhi,sa KSA,DF,Al-Fayha,28,1990,23,20,"1,811",2,0,0,0,5,0,0.1,0,0.1,0.1,0.1,2018
Omar Al Somah,sy SYR,FW,Al-Ahli,29,1989,24,19,"1,811",19,6,4,4,1,0,0.94,0.3,1.24,0.75,1.04,2018
Somália,br BRA,"MF,DF",Al-Shabab,29,1988,15,8,836,1,2,0,0,1,0,0.11,0.22,0.32,0.11,0.32,2018
Omar Al-Sonain,sa KSA,DF,Al-Ettifaq,23,1995,19,18,"1,599",0,0,0,0,7,0,0,0,0,0,0,2018
Jonathan Soriano,es ESP,MF,Al-Hilal,32,1985,8,1,173,3,0,0,0,1,0,1.56,0,1.56,1.56,1.56,2018
Josef de Souza,br BRA,MF,Al-Ahli,29,1989,15,14,"1,238",1,3,0,0,5,0,0.07,0.22,0.29,0.07,0.29,2018
Wesam Al-Sowayed,sa KSA,"DF,MF",Al-Faisaly,30,1987,11,7,615,0,0,0,0,2,0,0,0,0,0,0,2018
Fawaz Al-Sqoor,sn SEN,"DF,MF",Al-Wehda,22,1996,18,17,"1,548",1,3,0,0,2,0,0.06,0.17,0.23,0.06,0.23,2018
Nicolae Stanciu,ro ROU,"MF,FW",Al-Ahli,25,1993,10,8,695,2,3,0,0,1,0,0.26,0.39,0.65,0.26,0.65,2018
Mohammed Al Subaie,sa KSA,MF,Al-Ettifaq,,,4,2,165,0,0,0,0,1,0,0,0,0,0,0,2018
Abdulmohsen Al-Subhi,sa KSA,MF,Al-Batin,,,4,0,34,0,0,0,0,3,1,0,0,0,0,0,2018
Abdullah Al-Sudairy,sa KSA,GK,Al-Shabab,26,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2018
Rabee Sufyani,sa KSA,MF,Al-Taawoun,31,1987,25,17,"1,526",4,5,0,0,3,0,0.24,0.29,0.53,0.24,0.53,2018
