Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Mohammed Al-Fuhaid,sa KSA,"DF,MF",Al-Fateh,24,1990,21,21,"1,775",0,0,0,0,5,1,0,0,0,0,0,2014
Marquinhos Gabriel,br BRA,"FW,MF",Al-Nassr,24,1990,11,9,657,1,0,0,0,2,0,0.14,0,0.14,0.14,0.14,2014
Ibrahim Ghaleb,sa KSA,MF,Al-Nassr,23,1991,16,16,"1,440",3,1,1,1,2,0,0.19,0.06,0.25,0.12,0.19,2014
Abdulrahman Al-Ghamdi,sa KSA,FW,Al-Ittihad,19,1994,23,11,"1,164",8,1,0,0,3,0,0.62,0.08,0.7,0.62,0.7,2014
Khalid Al-Ghamdi,sa KSA,DF,Al-Nassr,26,1988,17,15,"1,289",0,2,0,0,5,2,0,0.14,0.14,0,0.14,2014
Omar Al-Ghamdi,sa KSA,MF,Al-Shabab,35,1979,13,6,710,0,0,0,0,4,0,0,0,0,0,0,2014
Sultan Al-Ghamdi,sa KSA,GK,Al-Taawoun,22,1992,2,2,180,0,0,0,0,0,0,0,0,0,0,0,2014
Jildemar Gil Bahia,br BRA,FW,Hajer,25,1989,3,1,26,0,0,0,0,0,0,0,0,0,0,0,2014
Waleed Al Gizani,sa KSA,FW,Al-Orobah,33,1981,15,7,700,2,0,0,0,0,0,0.26,0,0.26,0.26,0.26,2014
Élton José Xavier Gomes,br BRA,MF,Al-Fateh,28,1986,25,25,"2,157",9,4,4,4,4,0,0.38,0.17,0.54,0.21,0.38,2014
Mansour Gueye,sn SEN,FW,Hajer,28,1985,7,5,503,1,0,0,0,3,0,0.18,0,0.18,0.18,0.18,2014
Ahmed Al-Habib,sa KSA,DF,Najran,21,1993,2,1,94,0,0,0,0,0,0,0,0,0,0,0,2014
Abdullah Hadhariti,sa KSA,FW,Al-Raed,21,1992,2,2,150,0,0,0,0,0,0,0,0,0,0,0,2014
Abdullah Al-Hafith,sa KSA,DF,Al-Hilal,21,1992,2,2,180,0,0,0,0,1,0,0,0,0,0,0,2014
Mohammed Shafiq Al Haik,sa KSA,MF,Al-Khaleej,26,1987,7,4,409,0,0,0,0,1,0,0,0,0,0,0,2014
Abdoh Hakami,sa KSA,MF,Al-Taawoun,31,1983,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2014
Fahad Hamad,sa KSA,MF,Al-Shabab,24,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2014
Fahad Hamad,sa KSA,MF,Al-Taawoun,24,1989,19,19,"1,592",0,1,0,0,7,1,0,0.06,0.06,0,0.06,2014
Hamdan Al-Hamdan,sa KSA,FW,Al-Fateh,29,1984,25,24,"2,058",7,0,0,0,2,0,0.31,0,0.31,0.31,0.31,2014
Hamed Al-Hamed,sa KSA,FW,Al-Hilal,26,1987,11,1,263,0,0,0,0,0,0,0,0,0,0,0,2014
Saud Hamoud,sa KSA,MF,Al-Shoulla,24,1989,2,0,21,0,0,0,0,1,0,0,0,0,0,0,2014
Saud Hamoud,sa KSA,MF,Al-Nassr,24,1989,2,0,22,0,0,0,0,0,0,0,0,0,0,0,2014
Abdulaziz Hamsal,sa KSA,DF,Najran,27,1987,19,18,"1,542",1,0,0,0,5,0,0.06,0,0.06,0.06,0.06,2014
Mutab Al Hamsal,sa KSA,MF,Najran,,,3,1,115,0,0,0,0,0,0,0,0,0,0,0,2014
Yassin Hamzah,sa KSA,DF,Al-Taawoun,23,1990,16,14,"1,379",0,0,0,0,2,0,0,0,0,0,0,2014
Mansor Hamzi,sa KSA,MF,Al-Faisaly,22,1992,4,3,288,0,0,0,0,0,0,0,0,0,0,0,2014
Abdulhadi Al-Harajin,sa KSA,MF,Hajer,19,1994,7,1,132,0,0,0,0,0,0,0,0,0,0,0,2014
